matching_idx,policy_area,subtopic_1,subtopic_2
3035,Transportation and Public Works,Aviation Safety Oversight Expansions,Bipartisan Process
3036,Social Welfare,Expanding Social Welfare Programs,Cost of Living Adjustment
3037,Transportation and Public Works,Increasing Transportation Funding,Transportation Infrastructure Investment
3038,Transportation and Public Works,Increasing Infrastructure Investment,Infrastructure Investment
3039,Transportation and Public Works,Increasing Infrastructure Investment,Infrastructure Investment
3040,Transportation and Public Works,Increasing Transportation Funding,Transportation Funding
3041,Transportation and Public Works,Increasing Transportation Funding,Infrastructure Investment
3042,Native Americans,Expanding Native American Land Rights,Tribal Government Gaming Regulation
3043,Transportation and Public Works,Increasing Transportation Funding,High-speed Rail Expansion
3044,Health,Misc.,Misc.
3045,Transportation and Public Works,Increasing Transportation Funding,Transportation Funding
3046,Transportation and Public Works,Increasing Transportation Funding,Transportation Funding
3047,Transportation and Public Works,Increasing Infrastructure Investment,Infrastructure Investment
3048,Health,Misc.,Misc.
3049,Health,Restricting Reproductive Health Funding,Abortion Funding Restrictions
3050,Health,Misc.,Misc.
3051,Health,Restricting Reproductive Health Funding,Abortion Funding Restrictions
3052,Transportation and Public Works,Increasing Transportation Funding,Electric Vehicle Transition
3053,Crime and Law Enforcement,Misc.,Misc.
3054,Government Operations and Politics,Increasing Voter ID Requirements,Voter ID Requirements
3055,Energy,Increasing Energy Security Measures,Cybersecurity Legislation
3056,Energy,Increasing Energy Security Measures,Energy Emergency Leadership
3057,Energy,Increasing Energy Security Measures,Energy Security
3058,Energy,Increasing Energy Security Measures,Electricity Security
3059,Energy,Increasing Energy Security Measures,Energy Security
3060,Energy,Increasing Energy Security Measures,Cybersecurity for Electric Utilities
3061,Energy,Increasing Energy Security Measures,Cybersecurity Legislation
3062,Energy,Increasing Energy Security Measures,Cybersecurity Legislation
3063,Energy,Increasing Energy Security Measures,Cybersecurity Legislation
3064,Energy,Increasing Energy Security Measures,Cybersecurity Regulations
3065,Energy,Increasing Energy Security Measures,Cybersecurity Legislation
3066,Energy,Increasing Energy Security Measures,Cybersecurity Legislation
3067,Energy,Increasing Energy Security Measures,Cybersecurity Improvements
3068,Energy,Increasing Energy Security Measures,Energy Security Legislation
3069,"Science, Technology, Communications",Misc.,Misc.
3070,"Science, Technology, Communications",Expanding Communication Security Standards,Communications Resiliency
3071,"Science, Technology, Communications",Expanding Communication Security Standards,911 Outage Information Access
3072,"Science, Technology, Communications",Expanding Communication Security Standards,911 Security
3073,"Science, Technology, Communications",Expanding Communication Security Standards,Communications Market Access Regulations
3074,"Science, Technology, Communications",Misc.,Misc.
3075,"Science, Technology, Communications",Misc.,Misc.
3076,"Science, Technology, Communications",Expanding Communication Security Standards,Communication Standards
3077,"Science, Technology, Communications",Misc.,Misc.
3078,"Science, Technology, Communications",Misc.,Misc.
3079,"Science, Technology, Communications",Misc.,Misc.
3080,"Science, Technology, Communications",Expanding Communication Security Standards,Phone Numbers in Emergencies
3081,"Science, Technology, Communications",Expanding Communication Security Standards,Landline Phone Preservation
3082,"Science, Technology, Communications",Misc.,Misc.
3083,"Science, Technology, Communications",Increasing Research Funding Support,Research Funding Support
3084,"Science, Technology, Communications",Increasing Research Funding Support,Research Funding Support
3085,"Science, Technology, Communications",Misc.,Misc.
3086,International Affairs,Increasing Foreign Aid Accountability,Refugee Sanitation Access
3087,International Affairs,Increasing Foreign Aid Accountability,Refugee Aid Support
3088,International Affairs,Increasing Foreign Aid Accountability,Foreign Aid Accountability
3089,International Affairs,Misc.,Misc.
3090,International Affairs,Misc.,Misc.
3091,International Affairs,Misc.,Misc.
3092,International Affairs,Misc.,Misc.
3093,International Affairs,Misc.,Misc.
3094,International Affairs,Increasing Foreign Aid Accountability,Vaccine Development Funding
3095,International Affairs,Increasing Foreign Aid Accountability,Vaccine Funding
3096,International Affairs,Misc.,Misc.
3097,International Affairs,Expanding Human Rights Protections,Food Security
3098,International Affairs,Expanding Human Rights Protections,Locust Control Efforts
3099,International Affairs,Expanding Human Rights Protections,Desert Locust Control
3100,International Affairs,Expanding Human Rights Protections,Desert Locust Control
3101,International Affairs,Increasing Foreign Aid Accountability,Foreign Aid Accountability
3102,International Affairs,Misc.,Misc.
3103,International Affairs,Increasing Economic Sanctions,Economic Sanctions
3104,International Affairs,Limiting Military Engagements,Whistleblower Rewards
3105,International Affairs,Increasing Economic Sanctions,Sanctions Enforcement Enforcement
3106,International Affairs,Increasing Economic Sanctions,Sanctions Enforcement
3107,Health,Restricting Reproductive Health Funding,Abortion Funding Restrictions
3108,Health,Misc.,Misc.
3109,Immigration,Expanding Immigration Protections,Dreamer Protection
3110,"Science, Technology, Communications",Expanding Communication Security Standards,Communications Infrastructure Resilience
3111,"Science, Technology, Communications",Expanding Communication Security Standards,Phone Number Protection
3112,Health,Restricting Reproductive Health Funding,Abortion Funding Restrictions
3113,Transportation and Public Works,Aviation Safety Oversight Expansions,Transportation Security Measures
3114,Transportation and Public Works,Aviation Safety Oversight Expansions,Transportation Security
3115,Transportation and Public Works,Aviation Safety Oversight Expansions,Transportation Security
3116,Transportation and Public Works,Aviation Safety Oversight Expansions,Aviation Safety Oversight
3117,Transportation and Public Works,Aviation Safety Oversight Expansions,Aviation Safety Oversight
3118,Transportation and Public Works,Aviation Safety Oversight Expansions,Transportation Security Preparedness
3119,Transportation and Public Works,Aviation Safety Oversight Expansions,Transportation Security
3120,Transportation and Public Works,Aviation Safety Oversight Expansions,Aviation Safety Oversight
3121,Transportation and Public Works,Aviation Safety Oversight Expansions,Transportation Security
3122,Transportation and Public Works,Aviation Safety Oversight Expansions,Transportation Security
3123,Transportation and Public Works,Aviation Safety Oversight Expansions,Transportation Security Preparedness
3124,Transportation and Public Works,Aviation Safety Oversight Expansions,Public Health Preparedness
3125,Transportation and Public Works,Aviation Safety Oversight Expansions,Public Health Security
3126,Transportation and Public Works,Aviation Safety Oversight Expansions,Aviation Security Reform
3127,Transportation and Public Works,Aviation Safety Oversight Expansions,COVID-19 Virus Prevention
3128,Transportation and Public Works,Aviation Safety Oversight Expansions,Aviation Security
3129,Transportation and Public Works,Aviation Safety Oversight Expansions,Aviation Safety Reform
3130,Transportation and Public Works,Aviation Safety Oversight Expansions,Transportation Security Transparency
3131,Transportation and Public Works,Aviation Safety Oversight Expansions,Transportation Security Transparency
3132,Transportation and Public Works,Aviation Safety Oversight Expansions,Aviation Security Improvements
3133,Transportation and Public Works,Aviation Safety Oversight Expansions,Transportation Security Transparency
3134,Crime and Law Enforcement,Expanding Human Trafficking Protections,Human Trafficking Prevention
3135,Crime and Law Enforcement,Expanding Human Trafficking Protections,Human Trafficking Prevention
3136,Crime and Law Enforcement,Expanding Human Trafficking Protections,Human Trafficking Prevention
3137,Crime and Law Enforcement,Expanding Human Trafficking Protections,Human Trafficking Awareness
3138,"Science, Technology, Communications",Misc.,Misc.
3139,"Science, Technology, Communications",Misc.,Misc.
3140,"Science, Technology, Communications",Misc.,Misc.
3141,"Science, Technology, Communications",Misc.,Misc.
3142,"Science, Technology, Communications",Misc.,Misc.
3143,"Science, Technology, Communications",Expanding Communication Security Standards,Industrial Control System Security
3144,"Science, Technology, Communications",Misc.,Misc.
3145,"Science, Technology, Communications",Expanding Communication Security Standards,Cybersecurity Reform
3146,Government Operations and Politics,Strengthening Government Accountability,Cybersecurity Funding
3147,Government Operations and Politics,Strengthening Government Accountability,Cybersecurity Legislation
3148,Government Operations and Politics,Strengthening Government Accountability,Cybersecurity Vulnerability Prevention
3149,Government Operations and Politics,Strengthening Government Accountability,Cybersecurity Reform
3150,Government Operations and Politics,Strengthening Government Accountability,Cybersecurity Legislation
3151,Government Operations and Politics,Strengthening Government Accountability,Cybersecurity Funding
3152,"Science, Technology, Communications",Misc.,Misc.
3153,"Science, Technology, Communications",Expanding Communication Security Standards,Cybersecurity Funding
3154,"Science, Technology, Communications",Expanding Communication Security Standards,Cybersecurity Legislation
3155,"Science, Technology, Communications",Expanding Communication Security Standards,Cyber Security
3156,Emergency Management,Increasing Homeland Security Accountability,Homeland Security Funding
3157,Emergency Management,Increasing Homeland Security Accountability,Supply Chain Security
3158,Emergency Management,Increasing Homeland Security Accountability,Supply Chain Security
