policy_area,gpt_label,document_index,new_subtopic
Energy,Energy Security and Policy Reform,892,Energy Security and Policy Reform
Energy,Energy Security and Policy Reform,893,Energy Costs and Policy Reform
Energy,Energy Security and Policy Reform,895,Energy Independence and Biofuels
Energy,Energy Security and Policy Reform,897,Critical Mineral Production
Energy,Energy Security and Policy Reform,899,Energy Policy Reform
Energy,Energy Security and Policy Reform,900,Energy Policy Reform
Energy,Energy Security and Policy Reform,901,Energy Costs Reduction
Energy,Energy Security and Policy Reform,903,Pollution and Public Health
Energy,Energy Security and Policy Reform,904,Energy Policy Reform
Energy,Energy Security and Policy Reform,906,Clean Energy Transition
Energy,Energy Security and Policy Reform,907,Green Energy Policy Concerns
Energy,Energy Security and Policy Reform,909,Mining and Water Protection
Energy,Energy Security and Policy Reform,910,Energy Policy Reform
Energy,Energy Security and Policy Reform,911,Environmental Protection and Regulation
Energy,Energy Security and Policy Reform,912,Natural Gas Production and Delivery
Energy,Energy Security and Policy Reform,917,Energy Independence and Policy Reform
Energy,Energy Security and Policy Reform,919,Natural Gas Exports and Carbon Emissions
Energy,Energy Security and Policy Reform,921,Energy Legislation Critique
Energy,Energy Security and Policy Reform,1061,Offshore Wind Development Policy
Energy,Energy Security and Policy Reform,924,Environmental Impact of Energy Policy
Energy,Energy Security and Policy Reform,925,Energy Costs Impacting Constituents
Energy,Energy Security and Policy Reform,926,Environmental Protection Issues
Energy,Energy Security and Policy Reform,927,Energy Production and Policy Reform
Energy,Energy Security and Policy Reform,928,Energy Security and Policy Reform
Energy,Energy Security and Policy Reform,929,Energy Policy Criticism
Energy,Energy Security and Policy Reform,930,Energy Policy Reform
Energy,Energy Security and Policy Reform,931,Energy Independence and Pipelines
Energy,Energy Security and Policy Reform,933,Big Oil and Environmental Protection
Energy,Energy Security and Policy Reform,934,Energy Infrastructure Reform
Energy,Energy Security and Policy Reform,935,Big Oil and Climate Change
Energy,Energy Security and Policy Reform,937,Grid Resiliency and Policy Reform
Energy,Energy Security and Policy Reform,938,Energy Infrastructure Improvement
Energy,Energy Security and Policy Reform,942,Environmental Justice and Climate Change
Energy,Energy Security and Policy Reform,943,Energy independence and inflation
Energy,Energy Security and Policy Reform,944,Support for Energy Workers
Energy,Energy Security and Policy Reform,945,Energy Affordability Issues
Energy,Energy Security and Policy Reform,946,Energy Independence Reform
Energy,Energy Security and Policy Reform,947,Energy Policy Critique
Energy,Energy Security and Policy Reform,948,Energy Independence and Regulations
Energy,Energy Security and Policy Reform,987,Energy Policy Reform
Energy,Energy Security and Policy Reform,949,Permitting Reform and Energy Policy
Energy,Energy Security and Policy Reform,950,Energy Costs and Affordability
Energy,Energy Security and Policy Reform,951,Energy Project Permitting Reform
Energy,Energy Security and Policy Reform,955,Climate Legislation Critique
Energy,Energy Security and Policy Reform,956,Environmental Permitting Reform
Energy,Energy Security and Policy Reform,958,Energy Infrastructure Development
Energy,Energy Security and Policy Reform,960,Energy Security and Policy Reform
Energy,Energy Security and Policy Reform,961,Energy Export Policy
Energy,Energy Security and Policy Reform,965,Environmental Protection and Energy Costs
Energy,Energy Security and Policy Reform,966,Energy Independence and Costs
Energy,Energy Security and Policy Reform,967,Public Lands and Environmental Protection
Energy,Energy Security and Policy Reform,968,Regulatory Reform in Energy
Energy,Energy Security and Policy Reform,969,Jordan Cove Project Denial
Energy,Energy Security and Policy Reform,970,States' Rights in Energy Policy
Energy,Energy Security and Policy Reform,971,Regulatory certainty for carbon projects
Energy,Energy Security and Policy Reform,972,Underground Injection Control Program
Energy,Energy Security and Policy Reform,973,EPA Regulation of Drinking Water
Energy,Energy Security and Policy Reform,974,States' Emissions Control Rights
Energy,Energy Security and Policy Reform,975,Carbon Emissions and Regulation
Energy,Energy Security and Policy Reform,980,Oil and gas industry tax hikes
Energy,Energy Security and Policy Reform,982,Tax Hike on Oil Industry
Energy,Energy Security and Policy Reform,981,Tax breaks for Big Oil
Energy,Energy Security and Policy Reform,984,Energy Independence and Regulations
Energy,Energy Security and Policy Reform,985,Environmental Protection and Prosperity
Energy,Energy Security and Policy Reform,986,Energy Policy Reform
Energy,Energy Security and Policy Reform,988,Offshore Drilling Protections
Energy,Energy Security and Policy Reform,989,Energy Security Awareness
Energy,Energy Security and Policy Reform,993,Natural Gas Restrictions
Energy,Energy Security and Policy Reform,996,Energy Policy Differences
Energy,Energy Security and Policy Reform,998,Hydraulic Fracturing Regulation
Energy,Energy Security and Policy Reform,999,Delaware River Watershed Regulation
Energy,Energy Security and Policy Reform,1000,Hydraulic Fracking Regulation
Energy,Energy Security and Policy Reform,1001,Electoral Representation
Energy,Energy Security and Policy Reform,1002,Governors' Rights in Energy Policy
Energy,Energy Security and Policy Reform,1003,States' Autonomy in Energy Policy
Energy,Energy Security and Policy Reform,1004,Climate Change Policy
Energy,Energy Security and Policy Reform,2572,Energy Policy and Climate Change
Energy,Energy Security and Policy Reform,1005,Environmental Cooperation in Energy Policy
Energy,Energy Security and Policy Reform,1006,Energy Policy and Climate Change
Energy,Energy Security and Policy Reform,1007,Energy Regulation and Policy Reform
Energy,Energy Security and Policy Reform,1008,Energy Regulatory Oversight
Energy,Energy Security and Policy Reform,1009,FERC Overreach and Policy Reform
Energy,Energy Security and Policy Reform,1010,Greenhouse Gas Emissions Policy
Energy,Energy Security and Policy Reform,2988,Greenhouse Gas Emissions
Energy,Energy Security and Policy Reform,1011,Supply Chain and National Security
Energy,Energy Security and Policy Reform,1013,Voting Rights in Energy Policy
Energy,Energy Security and Policy Reform,1014,Tornadoes and First responders
Energy,Energy Security and Policy Reform,1015,Tornado Recovery in Mississippi
Energy,Energy Security and Policy Reform,1016,Infrastructure Project Timelines
Energy,Energy Security and Policy Reform,1017,Judicial Review and Enforcement
Energy,Energy Security and Policy Reform,1018,Permitting Process Reform
Energy,Energy Security and Policy Reform,1037,Permitting Process Improvement
Energy,Energy Security and Policy Reform,1019,Streamlining Environmental Permitting Process
Energy,Energy Security and Policy Reform,1020,Environmental Review and Pipeline Construction
Energy,Energy Security and Policy Reform,1021,Energy Security and Emissions
Energy,Energy Security and Policy Reform,1022,Streamlining Environmental Review Process
Energy,Energy Security and Policy Reform,1023,Uranium Supply Study
Energy,Energy Security and Policy Reform,1024,Nuclear Power and Energy Security
Energy,Energy Security and Policy Reform,1025,Uranium Mining and Indigenous Communities
Energy,Energy Security and Policy Reform,1026,Uranium Mining and Nuclear Power
Energy,Energy Security and Policy Reform,1027,Uranium and National Security
Energy,Energy Security and Policy Reform,1028,Uranium Mining Regulation
Energy,Energy Security and Policy Reform,1029,Public Land Leasing Rights
Energy,Energy Security and Policy Reform,1031,Energy Independence and Policy Reform
Energy,Energy Security and Policy Reform,1032,Energy Development Delays
Energy,Energy Security and Policy Reform,2062,Opposition to Amendment
Energy,Energy Security and Policy Reform,2076,Opposition to Amendment
Energy,Energy Security and Policy Reform,2090,Opposition to Amendment
Energy,Energy Security and Policy Reform,2148,Opposition to Amendment
Energy,Energy Security and Policy Reform,2402,Opposition to Amendment
Energy,Energy Security and Policy Reform,2449,Opposition to Amendment
Energy,Energy Security and Policy Reform,2932,Opposition to Amendment
Energy,Energy Security and Policy Reform,2964,Opposition to Amendment
Energy,Energy Security and Policy Reform,2968,Opposition to Amendment
Energy,Energy Security and Policy Reform,2970,Opposition to Amendment
Energy,Energy Security and Policy Reform,3005,Opposition to Amendment
Energy,Energy Security and Policy Reform,3298,Opposition to Amendment
Energy,Energy Security and Policy Reform,3301,Opposition to Amendment
Energy,Energy Security and Policy Reform,1033,China's Agricultural and Energy Investments
Energy,Energy Security and Policy Reform,1034,Clean Energy Policy Reform
Energy,Energy Security and Policy Reform,1035,China's Influence on Farmland
Energy,Energy Security and Policy Reform,1036,Permitting Reforms
Energy,Energy Security and Policy Reform,1038,Permitting Agency Technology
Energy,Energy Security and Policy Reform,1039,China's Mineral Dominance
Energy,Energy Security and Policy Reform,1040,Mining Law Reform
Energy,Energy Security and Policy Reform,1041,Mineral Supply Chain Reshoring
Energy,Energy Security and Policy Reform,1042,Tribal Consultation in Energy Policy
Energy,Energy Security and Policy Reform,1043,Wildfire Mitigation Legislation
Energy,Energy Security and Policy Reform,1044,Environmental Protections for Public Lands
Energy,Energy Security and Policy Reform,1045,Fire Safety Concerns
Energy,Energy Security and Policy Reform,1046,NEPA Reform and Forest Management
Energy,Energy Security and Policy Reform,1047,Roadway Safety Concerns
Energy,Energy Security and Policy Reform,1048,Wildfire Management Reform
Energy,Energy Security and Policy Reform,1049,Energy Infrastructure and Policy Reform
Energy,Energy Security and Policy Reform,1050,Wildfire Prevention Measures
Energy,Energy Security and Policy Reform,1051,Power Line Safety Management
Energy,Energy Security and Policy Reform,1052,Local Hiring and Recruitment
Energy,Energy Security and Policy Reform,1053,Permitting and Employment Opportunities
Energy,Energy Security and Policy Reform,1054,Forestry and Policy Reform
Energy,Energy Security and Policy Reform,1057,Energy Prices and Policy Reform
Energy,Energy Security and Policy Reform,1071,Energy Policy and Policy Reform
Energy,Energy Security and Policy Reform,1058,Environmental Review Capacity
Energy,Energy Security and Policy Reform,1059,Federal Bureaucracy Reform
Energy,Energy Security and Policy Reform,1060,Permitting System Reform
Energy,Energy Security and Policy Reform,1062,Offshore Wind Energy Development
Energy,Energy Security and Policy Reform,1063,Wind Energy Development Impact
Energy,Energy Security and Policy Reform,1064,Energy Policy Reforms
Energy,Energy Security and Policy Reform,1065,Energy Independence and National Security
Energy,Energy Security and Policy Reform,1066,Support for Clean Energy Economy
Energy,Energy Security and Policy Reform,1067,Domestic Supply Chain for Wind Energy
Energy,Energy Security and Policy Reform,1069,Energy Independence and Policy Reform
Energy,Energy Security and Policy Reform,1070,Oil and Gas Leasing Reform
